node_id,node_attr
0,chronic-obstructive-pulmonary-disease-copd
1,dust exposure
2,secondhand smoke exposure
3,emphysema
4,not getting enough physical activity
5,cold temperatures
6,anorexia
7,respiratory syncytial virus
8,quitting_smoking
9,activity planning
10,chronic-bronchitis
11,patient-support-group
12,obesity
13,current tobacco smoking
14,anxiety
15,heart health
16,reflux-reduction
17,alpha-1_antitrypsin_deficiency
18,frequent coughing or wheezing
19,heart-tests
20,low socioeconomic status
21,chest_x-ray
22,lung_volume_reduction_surgery
23,vitamin d deficiency
24,cardiovascular disease
25,one-way-endobronchial-valves
26,lung_transplant
27,premature birth
28,infections
29,lung cancer
30,covid-19-vaccine
31,fatigue
32,depression
33,respiratory infections
34,heart-disease
35,antibiotics
36,peripheral artery disease
37,heartburn-management
38,tobacco cessation
39,healthcare provider
40,bullae-formation
41,peripheral-artery-disease
42,healthcare-provider-guidance
43,heart-failure
44,regular-dental-check-ups
45,professional-counselor
46,healthy-diet
47,yearly-computed-tomography-scans
48,pneumonia
49,pulmonary rehabilitation program
50,elevated prevalence in rural regions
51,self-management-program
52,inhalational smoke exposure
53,silica exposure
54,alveolar destruction
55,airflow limitation
56,indoor air pollution
57,heart failure
58,smoking_habits
59,dust_exposure
60,cholinergic receptor nicotinic alpha subunit gene mutation
61,frequent-colds
62,computed-tomography-scans
63,impaired lung growth
64,steroid pills
65,antibiotic therapy for respiratory infections
66,inhaler
67,add-on-medicine
68,family-support
69,urban air pollution exposure
70,medication management
71,air filter use
72,persistent_shortness_of_breath
73,chemical-fumes
74,flare-up
75,healthcare provider guidance
76,stress
77,mortality
78,healthy diet
79,pleural_effusion
80,smoke
81,air pollution
82,respiratory-infections
83,lung-cancer
84,elevated prevalence in women
85,heart-treatments
86,tobacco smoking
87,occupational exposure to irritants
88,pulmonary_rehabilitation
89,elevated prevalence in american indian and alaska native populations
90,nutritional planning
91,heart attacks
92,avoidance of polluted environments
93,oral-health-maintenance
94,avoiding-cold-temperatures
95,chest_computed_tomography_scan
96,vaccine-administration
97,nutritional supplements
98,smoking-cessation
99,asthma
100,frequent respiratory infections in childhood
101,depressive disorder
102,shortness of breath during everyday activities
103,spirometry
104,bullectomy
105,heart-conditions
106,physical-activity
107,arterial_blood_gas_test
108,arrhythmia
109,human immunodeficiency virus infection
110,whooping cough
111,small airway disease
112,construction work exposure
113,tobacco exposure
114,bronchial wall thickening
115,wildfires
116,serious_symptoms
117,smoking cessation support
118,smoking cessation
119,steroids
120,passive smoking
121,family history of chronic obstructive pulmonary disease
122,organic dust exposure
123,acute exacerbation
124,combination-of-bronchodilators-and-inhaled-steroid
125,bronchial hypersecretion
126,avoiding_air_pollution
127,nutritional-supplements
128,bronchial hyperresponsiveness
129,wheezing
130,oral health issues
131,covid-19
132,indoor air pollution exposure
133,family_history_of_copd
134,medication therapy
135,prolonged exposure to biomass fuels
136,smoking
137,ongoing_cough
138,home-accessibility-modifications
139,persistent cough
140,inhaler-technique-training
141,excessive phlegm production
