node_id,node_attr
0,precautions to prevent spread
1,staying home
2,avoiding others
3,chronic_kidney_disease
4,increased_covid-19_risk
5,coronavirus-disease-(covid-19)
6,muscle aches
7,high blood pressure
8,loss of sense of taste
9,chills
10,putting distance between yourself and others
11,flu
12,liver injury
13,treatment as soon as possible
14,unvaccinated status
15,heavy arms or legs
16,heart injury
17,testing for covid-19
18,numbness or tingling
19,immunocompromised state
20,tight chest
21,muscle or body aches
22,early_treatment_within_5-7_days_of_symptom_onset
23,appetite loss
24,covid-19 prevention
25,nausea
26,hiv
27,new variants
28,protective actions
29,vaccination
30,trouble breathing
31,covid-19 vaccination
32,medical complexity
33,contaminated surfaces
34,diabetes
35,immunosuppression
36,post-covid conditions
37,fatigue
38,nucleic acid amplification tests (naats)
39,sepsis
40,chest pain
41,respiratory failure
42,sars-cov-2 coronavirus
43,runny or blocked nose
44,diarrhea
45,frequent hand cleaning
46,lowering transmission risk
47,covid-19 vaccines
48,people with disabilities
49,certain disabilities
50,good hygiene practices
51,persistent pain or pressure in the chest
52,people in close contact
53,death
54,dizziness
55,hoarse voice
56,cough
57,preventive measures
58,difficulty sleeping
59,preventive_measures
60,exposure to respiratory viruses
61,pale gray or blue lips nail beds and skin
62,pregnancy
63,breathing out droplets
64,underlying medical conditions
65,loss of sense of smell
66,coughing into a bent elbow or tissue
67,reinfections
68,intensive care
69,nausea or vomiting
70,rsv
71,kidney injury
72,emergency_warning_signs
73,older adults
74,treatment started within a few days of symptom onset
75,chronic_lung_disease
76,genetic conditions
77,steps for cleaner air
78,asthma
79,abdominal pain
80,long covid
81,ventilator use
82,fever or chills
83,fever
84,self-isolation when symptomatic
85,metabolic conditions
86,sickle_cell_disease
87,headache
88,new and persistent cough
89,antigen_tests
90,shortness of breath
91,attack on other body parts
92,congestion or runny nose
93,shortness of breath or difficulty breathing
94,infected person
95,test_to_treat_locations
96,asymptomatic person
97,age over 60
98,cdc's respiratory virus guidance
99,health care treatment
100,hospitalization
101,influenza (flu)
102,age over 65
103,congenital heart disease
104,underlying health conditions
105,not staying up to date on covid-19 vaccines
106,lowering severe illness risk
107,cancer
108,new loss of taste or smell
109,older age
110,severe fatigue
111,thromboembolism
112,person to animal transmission
113,sore throat
114,attack on lungs
115,attack on respiratory system
116,pcr tests
117,multiorgan failure
118,sneezing
119,infection with sars-cov-2
120,treatments based on disease severity
121,vomiting
122,neurologic conditions
123,inability to wake or stay awake
124,wearing a mask
125,sore eyes
126,covid-19
127,racial and ethnic minority groups
128,obesity
129,breathing out small particles
130,slowing the spread
131,avoiding crowds
132,risk factors for severe illness
133,pharmacological_treatment
134,severe inflammatory syndrome in children
135,new confusion
136,staying home when sick
137,cleaner air
138,good hygiene
139,pulmonary_embolism
140,chronic_bronchitis
141,bronchopulmonary_dysplasia
142,emphysema
143,interstitial_lung_disease
144,chronic_obstructive_pulmonary_disease
145,pulmonary_hypertension
146,idiopathic_pulmonary_fibrosis
147,bronchiectasis
148,human immunodeficiency virus (hiv)
149,severe coronavirus disease (covid-19)
150,different spreading ways
151,respiratory_viruses
152,persons aged 60 years and older
153,primary series vaccination
154,booster dose administration
155,mortality
156,persons with underlying medical conditions
157,lagevrio
158,paxlovid
159,older_adults
160,antiviral_medications
161,weakened_immune_system
162,unvaccinated_individuals
163,pemivibart_(pemgardaâ„¢)
164,severe_illness
165,heart_disease
166,covid-19_vaccines
167,convalescent_plasma
168,deciding next steps
169,respiratory viruses
170,staying up to date
171,hemoglobin_blood_disorders
172,thalassemia
173,dementia
174,neurological_conditions
175,rheumatological disease
176,severe illness
177,pcr_tests
178,nucleic_acid_amplification_tests_(naats)
179,increased_covid-19_severity
180,cognitive dysfunction
181,breathlessness
182,self-tests
183,chronic liver disease
184,risk of severe illness
185,chronic heart disease
186,getting treatment
187,reduce risk of severe illness
188,immunosuppressive_treatments
189,sars-cov-2
190,infection with influenza viruses
191,smoking
192,immunosuppressive medication
193,risk_factors_for_severe_illness
194,diabetes mellitus
195,chronic lung disease
196,people with pre-existing health problems
