src,edge_attr,dst
0,occurs_with,1
0,has_risk_factor,1
0,is_caused_by,1
0,is_prevented_by,2
0,is_caused_by,3
0,has_risk_factor,4
0,is_caused_by,5
0,has_risk_factor,5
0,is_caused_by,6
0,has_risk_factor,7
0,has_risk_factor,8
0,has_risk_factor,9
0,is_prevented_by,10
0,associated_with,11
0,occurs_with,12
0,has_risk_factor,12
0,has_risk_factor,13
0,has_risk_factor,14
0,associated_with,15
0,has_risk_factor,16
0,occurs_with,16
0,has_symptom,16
0,has_risk_factor,17
0,leads_to_complication,18
0,has_risk_factor,18
0,is_diagnosed_by,19
0,has_risk_factor,20
0,is_prevented_by,21
0,has_risk_factor,22
0,has_risk_factor,23
0,has_symptom,24
0,is_diagnosed_by,25
0,is_prevented_by,26
0,associated_with,27
0,has_risk_factor,28
0,leads_to_complication,28
0,has_risk_factor,29
0,is_characterized_by,30
0,has_symptom,30
0,occurs_with,31
0,is_caused_by,31
0,is_treated_by,32
0,has_risk_factor,33
0,associated_with,34
0,associated_with,35
0,is_prevented_by,36
0,has_risk_factor,37
0,occurs_with,37
0,is_caused_by,37
0,has_risk_factor,38
0,has_risk_factor,39
0,has_risk_factor,40
0,occurs_with,41
0,is_caused_by,41
0,is_diagnosed_by,42
0,is_prevented_by,43
0,has_risk_factor,44
0,has_risk_factor,45
0,occurs_with,46
0,is_caused_by,46
0,leads_to_complication,47
0,has_risk_factor,48
0,is_prevented_by,49
0,has_risk_factor,50
0,associated_with,51
0,is_caused_by,52
0,occurs_with,52
0,has_risk_factor,53
0,has_trigger,53
0,has_risk_factor,54
0,has_risk_factor,55
0,has_risk_factor,56
0,leads_to_complication,57
0,is_prevented_by,58
0,has_risk_factor,59
0,has_risk_factor,60
0,is_diagnosed_by,61
0,has_risk_factor,62
0,associated_with,63
0,has_risk_factor,64
0,has_risk_factor,65
0,has_risk_factor,66
0,is_diagnosed_by,67
0,is_caused_by,68
0,is_treated_by,69
0,is_prevented_by,70
0,has_risk_factor,71
0,has_risk_factor,72
0,is_prevented_by,73
0,associated_with,74
0,is_caused_by,75
0,occurs_with,75
0,has_risk_factor,75
0,has_risk_factor,76
0,is_caused_by,77
0,has_risk_factor,77
0,occurs_with,77
0,associated_with,78
0,has_risk_factor,79
0,has_risk_factor,80
0,associated_with,81
0,is_diagnosed_by,82
0,is_prevented_by,83
0,occurs_with,84
0,is_caused_by,84
0,is_treated_by,85
0,is_prevented_by,86
0,has_risk_factor,87
0,is_treated_by,88
0,has_risk_factor,89
0,is_treated_by,90
0,associated_with,91
0,has_risk_factor,92
0,has_risk_factor,93
0,occurs_with,94
0,is_caused_by,94
0,has_risk_factor,95
0,leads_to_complication,96
0,has_risk_factor,97
0,has_risk_factor,98
0,has_risk_factor,99
0,has_risk_factor,100
0,occurs_with,101
0,is_caused_by,101
0,has_risk_factor,102
0,is_caused_by,103
0,is_treated_by,104
0,is_prevented_by,105
0,associated_with,106
0,has_risk_factor,106
0,is_treated_by,107
0,has_risk_factor,108
0,is_caused_by,108
0,associated_with,109
0,is_treated_by,110
0,has_trigger,111
0,is_prevented_by,112
0,is_treated_by,112
0,has_risk_factor,113
0,occurs_with,114
0,is_caused_by,114
0,has_risk_factor,115
0,has_risk_factor,116
0,occurs_with,117
0,is_caused_by,117
0,associated_with,118
0,associated_with,119
0,is_prevented_by,120
0,has_risk_factor,121
0,has_risk_factor,122
0,has_risk_factor,123
0,has_risk_factor,124
0,is_prevented_by,125
0,is_treated_by,125
0,is_prevented_by,126
0,is_caused_by,127
0,occurs_with,127
0,is_treated_by,128
0,has_symptom,129
0,associated_with,129
0,has_risk_factor,130
0,occurs_with,130
0,is_caused_by,130
0,occurs_with,131
0,has_risk_factor,132
0,occurs_with,133
0,is_caused_by,133
0,has_symptom,134
0,is_prevented_by,135
0,is_diagnosed_by,136
0,occurs_with,137
0,is_caused_by,137
0,associated_with,138
0,has_risk_factor,138
0,associated_with,139
0,occurs_with,140
0,is_diagnosed_by,141
0,is_caused_by,142
0,occurs_with,142
0,has_symptom,143
0,associated_with,144
0,is_treated_by,145
0,has_symptom,146
0,is_treated_by,147
0,occurs_with,148
0,is_caused_by,148
0,has_risk_factor,149
0,associated_with,150
0,has_risk_factor,151
0,is_treated_by,152
0,has_risk_factor,153
0,is_diagnosed_by,154
0,is_prevented_by,155
0,occurs_with,156
0,has_risk_factor,157
0,is_diagnosed_by,158
0,is_treated_by,159
0,has_risk_factor,160
0,leads_to_complication,160
0,has_trigger,161
0,has_risk_factor,162
0,has_risk_factor,163
0,is_treated_by,164
0,has_symptom,165
0,is_prevented_by,166
0,is_prevented_by,167
0,has_risk_factor,168
0,occurs_with,169
0,is_treated_by,170
0,has_risk_factor,171
0,has_risk_factor,172
0,has_risk_factor,173
0,has_symptom,174
0,is_prevented_by,175
0,is_prevented_by,176
