src,edge_attr,dst
0,associated_with,1
0,associated_with,2
0,associated_with,3
0,is_prevented_by,4
0,associated_with,5
6,leads_to,7
6,prevented_by,8
6,facilitated_by,9
6,prevented_by,10
7,controlled_by,4
7,caused_by,6
11,associated_with,12
11,is_prevented_by,4
11,associated_with,13
14,prevented_by,15
14,has_risk_factor,16
14,has_risk_factor,17
14,has_risk_factor,18
14,is_prevented_by,19
14,has_symptom,20
14,has_symptom,21
14,leads_to_complication,22
14,prevented_by,4
14,is_prevented_by,4
14,treated_with,23
14,requires,24
14,associated_with,24
14,has_risk_factor,25
14,has_symptom,26
14,is_treated_by,27
14,is_treated_by,28
14,treated_with,28
14,leads_to_complication,29
14,is_caused_by,30
14,is_prevented_by,31
14,prevented_by,8
14,associated_with,32
14,is_treated_by,33
14,associated_with,34
14,has_risk_factor,35
14,transmitted_through,36
14,transmits_via,36
14,has_symptom,37
14,diagnosed_by,38
14,occurs_with,39
14,diagnosed_by,40
14,has_risk_factor,41
14,has_risk_factor,42
14,leads_to_complication,43
14,has_risk_factor,44
14,caused_by,45
14,is_caused_by,45
14,is_treated_by,46
14,is_diagnosed_by,47
14,has_symptom,48
14,occurs_with,49
14,treated_with,50
14,is_treated_by,50
14,leads_to_complication,51
14,has_symptom,52
14,is_treated_by,53
14,treated_with,53
14,is_caused_by,54
14,occurs_with,55
14,has_risk_factor,56
14,diagnosed_by,57
14,has_risk_factor,58
14,occurs_with,59
14,is_prevented_by,60
14,diagnosed_using,61
14,has_symptom,62
14,has_risk_factor,63
14,is_prevented_by,64
14,associated_with,65
14,has_risk_factor,66
14,caused_by,67
14,is_caused_by,67
14,is_prevented_by,68
14,is_caused_by,69
14,is_caused_by,70
14,is_caused_by,71
14,is_treated_by,72
14,has_symptom,73
14,is_treated_by,74
14,has_symptom,75
14,associated_with,76
14,prevented_by,77
14,has_risk_factor,78
14,is_prevented_by,79
14,diagnosed_by,80
14,diagnosed_using,81
14,is_diagnosed_by,81
14,has_risk_factor,82
14,is_diagnosed_by,83
14,has_symptom,84
14,is_prevented_by,85
14,has_risk_factor,86
14,transmitted_in,87
14,has_symptom,88
14,has_symptom,89
14,has_risk_factor,90
14,diagnosed_by,91
14,is_treated_by,92
14,is_treated_by,93
14,is_treated_by,94
14,is_treated_by,95
14,is_prevented_by,96
14,associated_with,97
14,diagnosed_by,98
14,is_treated_by,98
14,has_symptom,99
14,is_prevented_by,100
14,occurs_with,101
14,has_symptom,102
14,has_symptom,103
14,leads_to_complication,104
14,has_complication,104
14,increases_risk_of,104
14,is_diagnosed_by,105
14,is_caused_by,106
14,treated_with,107
14,has_symptom,108
14,has_risk_factor,109
14,is_caused_by,110
14,is_diagnosed_by,111
14,diagnosed_by,111
14,is_treated_by,111
14,is_diagnosed_by,112
14,has_symptom,113
14,is_caused_by,114
14,has_risk_factor,115
14,has_symptom,116
14,has_symptom,117
14,associated_with,118
14,is_treated_by,119
14,has_risk_factor,120
14,has_severity,121
14,occurs_with,122
14,is_prevented_by,11
14,has_symptom,123
14,leads_to_complication,124
14,has_symptom,125
14,managed_by,126
14,is_diagnosed_by,127
14,has_symptom,128
14,is_diagnosed_by,129
14,has_risk_factor,130
14,associated_with,131
14,has_symptom,132
14,is_treated_by,133
14,is_treated_by,134
14,prevented_by,135
14,is_prevented_by,136
14,has_risk_factor,137
14,is_prevented_by,138
14,treated_with,139
14,is_treated_by,139
14,has_severity,140
14,is_treated_by,141
14,leads_to_complication,142
14,has_risk_factor,143
14,prevented_by,144
14,has_risk_factor,145
14,has_symptom,146
14,complicated_by,147
14,leads_to_complication,147
14,diagnosed_in,148
14,has_symptom,149
14,has_risk_factor,150
14,is_caused_by,151
14,treated_with,152
14,is_diagnosed_by,153
14,occurs_in,154
14,is_prevented_by,155
14,is_treated_by,156
14,occurs_in,157
14,diagnosed_by,158
14,has_risk_factor,159
14,has_risk_factor,160
14,has_risk_factor,161
14,has_symptom,162
14,is_treated_by,163
14,has_symptom,164
14,is_caused_by,165
14,has_symptom,166
14,leads_to_complication,167
14,associated_with,168
14,has_symptom,169
14,has_risk_factor,170
14,is_diagnosed_by,171
14,is_caused_by,172
14,is_diagnosed_by,173
14,is_prevented_by,174
14,has_risk_factor,175
14,has_risk_factor,176
14,has_risk_factor,177
14,is_treated_by,0
14,is_prevented_by,0
14,is_caused_by,178
14,diagnosed_at,179
14,has_risk_factor,180
14,is_caused_by,181
14,has_symptom,182
14,is_caused_by,183
14,has_symptom,184
14,transmitted_in,9
14,associated_with,185
14,leads_to_complication,186
14,complicated_by,187
14,leads_to_complication,187
14,is_caused_by,188
14,complicated_by,189
14,is_treated_by,190
14,is_prevented_by,191
14,is_caused_by,192
14,has_risk_factor,193
14,has_symptom,194
14,leads_to_complication,195
14,leads_to_complication,196
14,has_severity,197
14,is_caused_by,198
14,has_symptom,199
14,is_diagnosed_by,200
14,treated_with,201
14,is_treated_by,201
14,has_symptom,202
14,has_risk_factor,203
14,has_risk_factor,204
14,has_symptom,205
14,leads_to_complication,206
14,has_risk_factor,207
14,has_symptom,208
14,prevented_by,209
14,is_treated_in,210
14,is_prevented_by,211
14,has_symptom,212
14,leads_to_complication,213
14,has_symptom,214
14,has_symptom,215
14,has_symptom,216
14,diagnosed_by,217
14,is_treated_by,218
14,associated_with,219
14,associated_with,220
14,has_symptom,221
14,associated_with,222
14,is_prevented_by,223
14,is_diagnosed_by,224
14,has_risk_factor,225
14,associated_with,226
14,is_treated_by,227
14,is_treated_by,228
14,treated_with,229
14,leads_to_complication,230
14,is_diagnosed_by,231
14,is_studied_by,232
14,diagnosed_by,233
14,is_diagnosed_by,234
14,diagnosed_using,234
14,diagnosed_by,235
14,is_diagnosed_by,236
14,has_symptom,237
14,has_symptom,238
14,has_symptom,239
14,has_symptom,240
14,is_caused_by,241
14,has_symptom,242
